slug,padrao,ac,ur,total_mi,rsm2,ACABAMENTOS DE FACHADA,ACABAMENTOS EM PISO E PAREDE,ACABAMENTOS EM PISOS E PAVIMENTAÇÕES,ACABAMENTOS INTERNOS EM PAREDE,ACABAMENTOS INTERNOS EM TETO,ALVENARIA,ALVENARIA E VEDAÇÕES,ALVENARIA ESTRUTURAL,ALVENARIA | VEDAÇÕES | DIVISÓRIAS,AUTOMAÇÃO E SISTEMAS LÓGICOS E TELECOMUNICAÇÃO,CLIMATIZAÇÃO,CLIMATIZAÇÃO E EXAUSTÃO,"CLIMATIZAÇÃO, EXAUSTÃO MECÂNICA E PRESSURIZAÇÃO",COBERTURA,CONTENÇÃO,CONTENÇÕES E ARRIMOS,CONTENÇÕES E FUNDAÇÕES,EQUIPAMENTOS,EQUIPAMENTOS E SISTEMAS ESPECIAIS,"ESQUADRIAS (METÁLICAS, VIDRO E MADEIRA)",ESQUADRIAS - VIDROS E FERRAGENS,"ESQUADRIAS, VIDROS E FERRAGENS",FORROS,FUNDAÇÃO RASA,GERENCIAMENTO ADMINISTRATIVO,GERENCIAMENTO EXECUTIVO,GERENCIAMENTO TÉCNICO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,IMPERMEABILIZAÇÃO,IMPERMEABILIZAÇÃO E TRATAMENTOS,IMPREVISTOS,IMPREVISTOS E CONTINGENCIAS,IMPREVISTOS E CONTINGÊNCIAS,INFRAESTRUTURA,INFRAESTRUTURA EXTERNA | MOBILIÁRIO ÁREAS COMUNS | DECORAÇÃO | PAISAGISMO,INSTALAÇÕES CLIMATIZAÇÃO E EXAUSTÃO,INSTALAÇÕES COMPLEMENTARES,INSTALAÇÕES DE COMUNICAÇÕES,INSTALAÇÕES ELÉTRICAS,INSTALAÇÕES ELÉTRICAS E TELEFÔNICAS,"INSTALAÇÕES ELÉTRICAS, HIDROSSANITÁRIAS, PREVENTIVAS E GLP","INSTALAÇÕES ELÉTRICAS, HIDRÁULICAS, GLP E PREVENTIVAS",INSTALAÇÕES ESPECIAIS,INSTALAÇÕES GLP,INSTALAÇÕES HIDROSSANITÁRIAS,INSTALAÇÕES HIDRÁULICAS,INSTALAÇÕES PREVENTIVAS,INSTALAÇÕES PREVENTIVAS E GLP,INSTALAÇÕES PREVENTIVO (PCI | SPDA),LOUÇAS E METAIS,MOVIMENTAÇÃO DE TERRA,OUTROS SISTEMAS ESPECIAIS,PAREDES E PAINÉIS,PINTURA DE FACHADA,PINTURA INTERNA,PINTURAS,PISOS E PAVIMENTAÇÕES,REVESTIMENTOS ARGAMASSADOS DE FACHADA,REVESTIMENTOS ARGAMASSADOS PAREDE,REVESTIMENTOS ARGAMASSADOS PISO,REVESTIMENTOS ARGAMASSADOS TETO,REVESTIMENTOS CERÂMICOS,REVESTIMENTOS COMPLEMENTARES,REVESTIMENTOS DE ARGAMASSA,REVESTIMENTOS E ACABAMENTOS DE FACHADA,REVESTIMENTOS E ACABAMENTOS INTERNOS EM TETO,REVESTIMENTOS INTERNOS DE PAREDE,REVESTIMENTOS INTERNOS EM PISO E PAREDE,SERVIÇOS COMPLEMENTARES,SERVIÇOS COMPLEMENTARES E FINAIS,SISTEMAS DE PINTURA INTERNA,SISTEMAS E INSTALAÇÕES ELÉTRICAS,SISTEMAS E INSTALAÇÕES HIDROSSANITÁRIAS E DRENAGEM,SISTEMAS E INSTALAÇÕES HIDROSSANITÁRIAS | DRENAGEM,SUPRAESTRUTURA
paludo-urban-life,economico,7040.19,0,18.47908415,2624.799067922883,,166.88,,,,,,,100.53,,,,,9.8,,,,,142.59,,344.53,,,,,,,289.44,,55.17,,,40.95,54.22,,,,,,,,286.69,,,,,,,,,18.61,,,,,,,,,,,,,,106.53,71.72,,168.8,,86.01,101.8,,,,580.52
paludo-volo-ocean,medio-alto,3264.31,0,11.91576619,3650.3169705083155,,121.35,,,,,,,67.87,,,,,12.32,,,,,276.11,,475.17,,,,,,,1309.05,,55.51,,,40.95,141.55,,,,,,,,190.26,,,,,,,,,24.55,,,,,,,,,,,,,,149.46,45.05,,93.0,,179.81,44.54,,,,423.76
parkside-trindade,medio-alto,3332.96,0,12.51787823,3755.784116821084,,346.35,,,,,,,259.89,,,,,21.81,54.26,,,,163.98,,488.14,,,,,,,428.22,,61.43,,,92.07,96.41,,,,,,,,464.11,,,,,,,,,44.07,,,,,,,,,,,,,,132.29,77.54,,241.44,,75.77,175.74,,,,532.25
pass-e-belissimo,economico,15621.97,0,30.98411658,1983.3680758572702,,143.31,,,,,,180.14,,,,,,4.01,,,,,111.63,,135.31,,,,,,,228.97,,16.63,,,29.91,167.14,,,,,,,208.77,,,,,,,,,,10.06,,,,,,,,,,,,,,87.43,25.64,,99.62,,105.35,78.87,,,,350.59
pass-e-celebration,medio-alto,7956.14,0,25.04600569,3148.009674289291,,180.5,,,,,,,161.09,,,,,15.65,,,,,254.66,,245.73,,,,,,,411.21,,48.18,,,48.06,236.78,,,,,,,,310.24,,,,,,,,,12.39,,,,,,,,,,,,,,109.63,60.62,,120.23,,56.56,114.52,,,,761.97
pass-e-connect,medio-alto,13144.27,0,48.758956420000004,3709.5218235778784,,157.65,,,,,,,240.63,,,,,49.14,,,,,228.34,,265.34,,,,,,,376.2,,34.63,,,157.85,199.01,,,,,,,,330.22,,,,,,,,,40.08,,,,,,,,,,,,,,300.47,80.05,,169.15,,147.71,196.8,,,,736.24
pass-e-passione,alto,6681.54,0,25.28724972,3784.643917420235,,185.35,,,,,,,196.72,,,,,25.35,,,,,240.59,,278.99,,,,,,,681.68,,56.76,,,120.51,244.62,,,,,,,,459.82,,,,,,,,,30.75,,,,,,,,,,,,,,149.82,88.3,,179.77,,26.4,178.15,,,,641.05
pass-e-vancouver,medio-alto,5554.12,0,15.320928949999999,2758.4800022325767,,167.58,,,,,,,139.7,,,,,4.75,,,,,204.15,,277.09,,,,,,,287.62,,16.72,,,39.65,139.84,,,,,,,,273.46,,,,,,,,,19.88,,,,,,,,,,,,,,117.13,41.89,,116.15,,111.81,102.55,,,,698.52
pavcor,medio-alto,14283.29,0,49.36027861,3455.8059529702186,,,,,,,,,154.57,,85.96,,,,,,,,95.63,,246.06,,,,,,,579.69,,57.24,,,42.5,195.66,,,,43.71,184.14,,,,,,143.51,,26.86,,,26.65,21.82,,,,,,205.14,,,,,,,,93.8,46.98,238.21,,,172.92,144.64,,,,650.11
sak-engenharia,alto,1700.61,0,6.53545704,3843.007532591247,,233.49,,,,,,,125.32,,,,,14.48,,,,,212.12,,540.9,,,,,,,540.45,,61.39,,,38.37,230.93,,,,,,,,320.13,,,,,,,,,11.41,,,,,,,,,,,,,,149.42,70.69,,166.08,,210.7,147.79,,,,769.35
santa-maria-unimed,alto,52516.04,0,84.2368441525,1604.021250507464,,,,,,115.33961985709507,,,,,,,78.09042722947122,,,,,205.22431470461217,,,,,,82.05438871628554,,,,,,,,,,,,,,,175.0,,,,,,,168.0,,85.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,675.3125
terrassa-amaro,alto,10479.34,0,32.4876501931334,3100.1618606833445,,,,,,,176.49624911225325,,,,,,,,,,159.47722555580788,,,285.8608205892737,,,92.41098962339231,,,,,535.7872707265342,,,,,,,104.3509923937958,28.240526598049108,11.296764280956625,,,118.01461909814934,,,,4.236219074865402,146.56760878070565,,,,29.56731541871912,22.932255380586938,,,,,,167.69973533085098,,,,,,138.87320025450074,141.810727330538,215.32355821692968,,,,,,,,,,,721.2157829174356
