Alv,Clim,Cob,Compl,Esq,Fach,Ger,Imp,Imprev,Infra,Inst,Louças,Mov,Pint,Pisos,RevP,SistE,Supra,Teto,ac,padrao,rsm2_total,slug,total,ur
,,,,,,,,,,,,,,,,,,,1402.94,medio-alto,2662.8084950176058,paludo-nassau,3735760.55,0
,,9.800000000000002,,,106.53,289.44,,40.95,54.22,286.69,,18.61,,,,142.59,580.52,71.72,7040.19,economico,2624.799067922883,paludo-urban-life,18479084.15,0
,,,,,,,,,,,,,,,,,,,3972.3,alto,3134.3717065679834,paludo-volo-home,12450664.73,0
,,12.32,,,149.46,1309.05,,40.95,141.55,190.25999999999996,,24.550000000000004,,,,276.11,423.76,45.050000000000004,3264.31,medio-alto,3650.3169705083155,paludo-volo-ocean,11915766.19,0
,,21.810000000000002,,,132.29,428.22,,92.07,96.41,464.11,,44.07,,,,163.98,532.25,77.54,3332.96,medio-alto,3755.784116821084,parkside-trindade,12517878.23,0
,,,,,,,,,,,,,,,,,,,6022.06,alto,4344.7134867470595,pass-e-barao-de-albuquerque,26164125.3,0
,,4.01,,,87.43,228.96999999999997,,29.91,167.14,,,10.06,,,,111.63,350.59,25.64,15621.97,economico,1983.3680758572702,pass-e-belissimo,30984116.58,0
,,15.65,,,109.63,411.21,,48.06,236.78,310.24,,12.39,,,,254.66,761.97,60.62,7956.14,medio-alto,3148.009674289291,pass-e-celebration,25046005.69,0
,,49.14,,,300.47,376.2,,157.85,199.01,330.22,,40.080000000000005,,,,228.34,736.24,80.05,13144.27,medio-alto,3709.5218235778784,pass-e-connect,48758956.42,0
,,25.35,,,149.82,681.68,,120.51,244.62,459.82,,30.75,,,,240.59,641.0499999999998,88.3,6681.54,alto,3784.643917420235,pass-e-passione,25287249.72,0
,,4.75,,,117.13,287.62,,39.65,139.84,273.46,,19.88,,,,204.15,698.52,41.89,5554.12,medio-alto,2758.4800022325767,pass-e-vancouver,15320928.95,0
,85.96,,,,93.8,579.69,,42.5,195.66,,26.65,21.82,,205.14,238.20999999999998,95.63,650.11,46.98,14283.29,medio-alto,3455.8059529702186,pavcor,49360278.61,0
,,,,,,,,,,,,,,,,,,,7007.86,medio-alto,3232.196303864518,rosner-reserva-sao-vicente,22650779.19,0
,,14.48,,,149.42,540.45,,38.37,230.93,320.13,,11.41,,,,212.12,769.35,70.69,1700.61,alto,3843.007532591247,sak-engenharia,6535457.04,0
115.33961985709507,,,,,,,,,,,,,,,,,675.3125,,52516.04,alto,1604.021250507464,santa-maria-unimed,84236844.1525,0
,,,,,,535.7872707265342,,,,,22.932255380586938,,,,,,721.2157829174356,,10479.34,alto,3100.1618606833445,terrassa-amaro,32487650.1931334,0
