grupo;row_extracao;descricao_original;dimensao;desc_final_cadastrada;unidade;qtd;pu;chave_norm;codigo_insumo;status
Cisterna;176;Tampa de Inspeção, Ferro Fundido - Tanques - (0,60m x 0,60m);;Tampa de Inspeção, Ferro Fundido - Tanques - (0,60m x 0,60m);un;9.0;350.0;tampa de inspecao, ferro fundido - tanques - (0,60m x 0,60m)||un;50275;novo
Cisterna;177;Tanque Aeróbio, Concreto armado - (ø útil: 3,0m x altura útil: 2,10m);;Tanque Aeróbio, Concreto armado - (ø útil: 3,0m x altura útil: 2,10m);un;3.0;38000.0;tanque aerobio, concreto armado - (ø util: 3,0m x altura util: 2,10m)||un;50276;novo
Cisterna;178;Tanque Anaeróbio, Concreto armado - (ø útil: 2,70m x altura útil: 2,0m);;Tanque Anaeróbio, Concreto armado - (ø útil: 2,70m x altura útil: 2,0m);un;1.0;35000.0;tanque anaerobio, concreto armado - (ø util: 2,70m x altura util: 2,0m)||un;50277;novo
Cisterna;179;Tanque Anóxico, Concreto armado - (ø útil: 3,0m x altura útil: 2,10m);;Tanque Anóxico, Concreto armado - (ø útil: 3,0m x altura útil: 2,10m);un;1.0;38000.0;tanque anoxico, concreto armado - (ø util: 3,0m x altura util: 2,10m)||un;50278;novo
Cisterna;180;Tanque Decantador, Concreto armado - (ø útil: 3,0m x altura útil: 1,5m);;Tanque Decantador, Concreto armado - (ø útil: 3,0m x altura útil: 1,5m);un;2.0;32000.0;tanque decantador, concreto armado - (ø util: 3,0m x altura util: 1,5m)||un;50279;novo
Cisterna;181;Tanque Descarte de Lodo, Concreto armado - (ø útil: 3,0m x altura útil: 2,20m);;Tanque Descarte de Lodo, Concreto armado - (ø útil: 3,0m x altura útil: 2,20m);un;1.0;38000.0;tanque descarte de lodo, concreto armado - (ø util: 3,0m x altura util: 2,20m)||un;50280;novo
Cisterna;182;Tanque Desinfecção, Concreto armado - (ø útil: 2,0m x altura útil: 1,8m);;Tanque Desinfecção, Concreto armado - (ø útil: 2,0m x altura útil: 1,8m);un;1.0;25000.0;tanque desinfeccao, concreto armado - (ø util: 2,0m x altura util: 1,8m)||un;50281;novo
Cisterna;183;Timer digitar, 16 funções;;Timer digitar, 16 funções;un;1.0;250.0;timer digitar, 16 funcoes||un;50282;novo
Hidrômetros;186;Hidrômetro Multijato;"3/4""";"Hidrômetro Multijato 3/4""";un;48.0;547.3;"hidrometro multijato 3/4""||un";50283;novo
Hidrômetros;187;Hidrômetro Unijato;"3/4""";"Hidrômetro Unijato 3/4""";un;144.0;350.0;"hidrometro unijato 3/4""||un";50284;novo
Reservatórios;190;Caixa D'Água de Polietileno (7500L);;Caixa D'Água de Polietileno (7500L);un;2.0;4200.0;caixa d'agua de polietileno (7500l)||un;50285;novo
Sistema de bombas;193;Chave de Fluxo - Modelo com Palheta;;Chave de Fluxo - Modelo com Palheta;un;2.0;250.0;chave de fluxo - modelo com palheta||un;50286;novo
Sistema de bombas;194;"Filtro tipo ""T"" Compact de 2""";;"Filtro tipo ""T"" Compact de 2""";un;4.0;350.0;"filtro tipo ""t"" compact de 2""||un";50287;novo
Sistema de bombas;195;Skid com 01 Pressurizador da Schneider (SP 12 C - 1/2cv);;Skid com 01 Pressurizador da Schneider (SP 12 C - 1/2cv);un;1.0;8500.0;skid com 01 pressurizador da schneider (sp 12 c - 1/2cv)||un;50288;novo
Sistema de bombas;196;Skid com 02 Motobombas de recalque da Schneider (135/18 (C1) - AQUA-UP H02 - 12,5CV);;Skid com 02 Motobombas de recalque da Schneider (135/18 (C1) - AQUA-UP H02 - 12,5CV);un;2.0;45000.0;skid com 02 motobombas de recalque da schneider (135/18 (c1) - aqua-up h02 - 12,5cv)||un;50289;novo
Sistema de bombas;197;Skid com 02 Pressurizadores da Schneider (CA PLUS-H02 - 1.1/2 HP);;Skid com 02 Pressurizadores da Schneider (CA PLUS-H02 - 1.1/2 HP);un;2.0;18500.0;skid com 02 pressurizadores da schneider (ca plus-h02 - 1.1/2 hp)||un;50290;novo
Sistema de bombas;198;"Ventosa Tríplice Função (C30 de 1"")";;"Ventosa Tríplice Função (C30 de 1"")";un;6.0;650.0;"ventosa triplice funcao (c30 de 1"")||un";50291;novo
Sistema de bombas;199;"Ventosa Tríplice Função (C30 de 2"")";;"Ventosa Tríplice Função (C30 de 2"")";un;4.0;950.0;"ventosa triplice funcao (c30 de 2"")||un";50292;novo
Sistema de bombas;200;"Válvula Controladora de Bomba (740Q de 2"")";;"Válvula Controladora de Bomba (740Q de 2"")";un;2.0;3500.0;"valvula controladora de bomba (740q de 2"")||un";50293;novo
Sistema de bombas;201;"Válvula Controladora de Nível (210-3W de 1 1/2"") + Controladora + Micro Chave Bóia";;"Válvula Controladora de Nível (210-3W de 1 1/2"") + Controladora + Micro Chave Bóia";un;2.0;2500.0;"valvula controladora de nivel (210-3w de 1 1/2"") + controladora + micro chave boia||un";50294;novo
Sistema de bombas;202;"Válvula Pé de Crivo (3"")";;"Válvula Pé de Crivo (3"")";un;4.0;180.0;"valvula pe de crivo (3"")||un";50295;novo
Sistema de bombas;203;"Válvula Redutora de Pressão - Modelo: Pilotada 420 - 2""";;"Válvula Redutora de Pressão - Modelo: Pilotada 420 - 2""";un;12.0;2800.0;"valvula redutora de pressao - modelo: pilotada 420 - 2""||un";50296;novo
Sistema de bombas;204;"Válvula Redutora de Pressão de Ação Direta (42 LP de 1 1/4"")";;"Válvula Redutora de Pressão de Ação Direta (42 LP de 1 1/4"")";un;4.0;1200.0;"valvula redutora de pressao de acao direta (42 lp de 1 1/4"")||un";50297;novo
Sistema de bombas;205;"Válvula de Alívio e Segurança (430 de 2"")";;"Válvula de Alívio e Segurança (430 de 2"")";un;8.0;1800.0;"valvula de alivio e seguranca (430 de 2"")||un";50298;novo
Sistema de bombas;206;"Válvula de Retenção (VA 407-W de 2 1/2"")";;"Válvula de Retenção (VA 407-W de 2 1/2"")";un;4.0;850.0;"valvula de retencao (va 407-w de 2 1/2"")||un";50299;novo
Mão de obra;209;A definir — benchmark Cartesian: R$ 55,00/m² AC;;A definir — benchmark Cartesian: R$ 55,00/m² AC;vb;1.0;0.0;a definir — benchmark cartesian: r$ 55,00/m² ac||vb;50300;novo
