disciplina,extensao,tamanho_mb,modificado_em,arquivo_relativo
PCI,.dwg,1.956,2026-06-09T13:48:14,PCI\040 - AP - Anteprojeto\DWG\AMS_FLOW_PCI_AP_006_PAV_PLANTA_BAIXA_R01.dwg
PCI,.ifc,15.426,2026-06-09T13:48:18,PCI\040 - AP - Anteprojeto\IFC\AMS_FLOW_PCI_AP_001_MOD_IFC_R00.ifc
PCI,.ifc,15.938,2026-06-09T13:48:20,PCI\040 - AP - Anteprojeto\IFC\AMS_FLOW_PCI_AP_001_MOD_IFC_R01.ifc
PCI,.pdf,3.888,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_002_TER_PLANTA_BAIXA_R00.pdf
PCI,.pdf,3.681,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_002_TER_PLANTA_BAIXA_R01.pdf
PCI,.pdf,3.522,2026-06-09T13:48:14,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_003_TER_PLANTA_BAIXA_R00.pdf
PCI,.pdf,2.988,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_003_TER_PLANTA_BAIXA_R01.pdf
PCI,.pdf,6.519,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_004_PAV_PLANTA_BAIXA_R00.pdf
PCI,.pdf,6.582,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_004_PAV_PLANTA_BAIXA_R01.pdf
PCI,.pdf,9.426,2026-06-09T13:48:18,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_005_PAV_PLANTA_BAIXA_R00.pdf
PCI,.pdf,8.714,2026-06-09T13:48:20,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_005_PAV_PLANTA_BAIXA_R01.pdf
PCI,.pdf,7.68,2026-06-09T13:48:18,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_006_PAV_PLANTA_BAIXA_R00.pdf
PCI,.pdf,7.378,2026-06-09T13:48:16,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_006_PAV_PLANTA_BAIXA_R01.pdf
PCI,.pdf,0.501,2026-06-09T13:48:12,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_010_GER_ESQUEMA_VERTICAL_R00.pdf
PCI,.pdf,0.508,2026-06-09T13:48:14,PCI\040 - AP - Anteprojeto\PDF\AMS_FLOW_PCI_AP_011_GER_ESQUEMA_VERTICAL_R00.pdf
PISCINA,.dwg,1.936,2026-06-09T13:48:18,PISCINA\040 - AP - Anteprojeto\AMS_FLOW_PIS_AP_001_COB_PLANTA_BAIXA_R00.dwg
PISCINA,.pdf,1.373,2026-06-09T13:48:18,PISCINA\040 - AP - Anteprojeto\AMS_FLOW_PIS_AP_001_COB_PLANTA_BAIXA_R00.pdf
PISCINA,.ifc,19.654,2026-06-09T13:48:18,PISCINA\040 - AP - Anteprojeto\AMS_FLOW_PIS_AP_001_MOD_MODELO_IFC_R00.ifc
PISCINA,.dwg,1.586,2026-06-09T13:48:18,PISCINA\040 - AP - Anteprojeto\AMS_FLOW_PIS_AP_002_COB_PLANTA_BAIXA_R00.dwg
PISCINA,.pdf,1.019,2026-06-09T13:48:18,PISCINA\040 - AP - Anteprojeto\AMS_FLOW_PIS_AP_002_COB_PLANTA_BAIXA_R00.pdf
SPDA,.dwg,0.905,2026-06-09T13:48:34,SPDA\040 - AP - Anteprojeto\DWG\AMS_FLOW_SPD_AP_001_TER_PLANTA_BAIXA_R00.dwg
SPDA,.dwg,0.561,2026-06-09T13:48:34,SPDA\040 - AP - Anteprojeto\DWG\AMS_FLOW_SPD_AP_002_PAV_PLANTA_BAIXA_R00.dwg
SPDA,.dwg,0.682,2026-06-09T13:48:32,SPDA\040 - AP - Anteprojeto\DWG\AMS_FLOW_SPD_AP_003_COB_PLANTA_BAIXA_R00.dwg
SPDA,.ifc,2.906,2026-06-09T13:48:32,SPDA\040 - AP - Anteprojeto\IFC\AMS_FLOW_SPD_AP_001_MOD_IFC_R00.ifc
SPDA,.pdf,2.365,2026-06-09T13:48:32,SPDA\040 - AP - Anteprojeto\PDF\AMS_FLOW_SPD_AP_001_TER_PLANTA_BAIXA_R00.pdf
SPDA,.pdf,1.884,2026-06-09T13:48:32,SPDA\040 - AP - Anteprojeto\PDF\AMS_FLOW_SPD_AP_002_PAV_PLANTA_BAIXA_R00.pdf
SPDA,.pdf,2.512,2026-06-09T13:48:34,SPDA\040 - AP - Anteprojeto\PDF\AMS_FLOW_SPD_AP_003_COB_PLANTA_BAIXA_R00.pdf
TEL,.dwg,2.11,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_001_TER_PLANTA_BAIXA_R00.dwg
TEL,.dwg,2.244,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_001_TER_PLANTA_BAIXA_R01.dwg
TEL,.dwg,1.912,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_002_PAV_PLANTA_BAIXA_R00.dwg
TEL,.dwg,1.493,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_002_PAV_PLANTA_BAIXA_R01.dwg
TEL,.dwg,1.575,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_003_PAV_PLANTA_BAIXA_R00.dwg
TEL,.dwg,1.202,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_003_PAV_PLANTA_BAIXA_R01.dwg
TEL,.dwg,1.854,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_004_PAV_PLANTA_BAIXA_R00.dwg
TEL,.dwg,2.155,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_004_PAV_PLANTA_BAIXA_R01.dwg
TEL,.dwg,1.159,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_005_BAR_PLANTA_BAIXA_R00.dwg
TEL,.dwg,1.367,2026-06-09T13:53:58,TEL\040 - AP - Anteprojeto\DWG\AMS_FLOW_TEL_AP_005_BAR_PLANTA_BAIXA_R01.dwg
TEL,.pdf,8.218,2026-06-09T13:54:02,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_001_TER_PLANTA_BAIXA_R00.pdf
TEL,.pdf,8.447,2026-06-09T13:54:02,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_001_TER_PLANTA_BAIXA_R01.pdf
TEL,.pdf,2.797,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_002_PAV_PLANTA_BAIXA_R00.pdf
TEL,.pdf,2.68,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_002_PAV_PLANTA_BAIXA_R01.pdf
TEL,.pdf,2.33,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_003_PAV_PLANTA_BAIXA_R00.pdf
TEL,.pdf,1.987,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_003_PAV_PLANTA_BAIXA_R01.pdf
TEL,.pdf,3.469,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_004_PAV_PLANTA_BAIXA_R00.pdf
TEL,.pdf,3.307,2026-06-09T13:54:02,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_004_PAV_PLANTA_BAIXA_R01.pdf
TEL,.pdf,2.186,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_005_BAR_PLANTA_BAIXA_R00.pdf
TEL,.pdf,2.136,2026-06-09T13:54:00,TEL\040 - AP - Anteprojeto\PDF\AMS_FLOW_TEL_AP_005_BAR_PLANTA_BAIXA_R01.pdf
