path,cliente,projeto,total_gerenciamento,grand_total,ac_m2,pct_ger,rsm2_ger
Inbrasul\Aguas de Março\CTN-INB-AGM-Apresentação Orçamento - R03.xlsx,Inbrasul,Aguas de Março,7834510.59,24341958.32,,32.18521076655923,
Inbrasul\Opus\CTN-INB-OPS-Apresentação Orçamento - R05.xlsx,Inbrasul,Opus,5396049.23,16756730.409999996,,32.20227990765891,
Indepy\Stella Marina\CTN-IND-STL-Apresentação Orçamento - R01.xlsx,Indepy,Stella Marina,3402094.38,17285611.089999996,,19.681655235018948,
Macom\Adda\CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,Macom,Adda,1447037.29,13434812.160000002,4358.27,10.770804033333055,332.02102898627203
Macom\Villa Lobos\CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,Macom,Villa Lobos,1932826.48,17850373.278950002,6001.7,10.827933118235011,322.0465001582885
Muller Empreendimentos\Guanabara\CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Muller Empreendimentos,Guanabara,1356858.91,14337198.41,,9.463905507882275,
Nobria\CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,Nobria,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,5635455.61,42384127.48,12879.93,13.296146328974755,437.5377513697668
Parkside\Trindade\CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,Parkside,Trindade,1385750.363839311,16393699.823686412,3332.96,8.4529445991021,415.7716755794582
Pass-e\Belissimo\CTN-PAS-BEL-Apresentação Orçamento - R01.xlsx,Pass-e,Belissimo,3576946.78,30984116.579999994,,11.54445301277007,
Pass-e\Celebration\CTN-PAS-CLB- Apresentação Orçamento - R02.xlsx,Pass-e,Celebration,3271615.95,25046005.690000005,7956.14,13.062425963219525,411.2064330190268
Pass-e\Connect\CTN-PAS-CNC- Apresentação Orçamento - R01.xlsx,Pass-e,Connect,5368372.808971049,48836510.10815962,13144.27,10.992539796724952,408.419243439997
SAK Engenharia\CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,SAK Engenharia,CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,919095.17,6535457.04,1700.61,14.063211866816893,540.4502913660393
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,Thozen,Mirador de Alicante,5062193.474574975,35380193.77723375,10661.12,14.307986854024431,474.8275485666585
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,H Empreendimentos,Atlantia,3704814.2581239017,40420184.52353,12828.33,9.16575295683571,288.7994195755723
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Maiori\CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,Amalfi,Maiori,3318913.557107,25185732.852655,8366.5,13.177752565405818,396.6907974788741
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Marine\CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,Amalfi,Marine,2346985.539297,14107283.053041,4498.66,16.636694184647258,521.7076950240738
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Ravello\CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,Amalfi,Ravello,4746733.278634106,39313735.22500839,13434.29,12.073981908527983,353.32967195394065
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Tramonti\CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,Amalfi,Tramonti,7713624.635108488,59955737.5767165,15602.85,12.865532052271899,494.37279952755347
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Terrassa\Amaro\CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,Terrassa,Amaro,5614696.977615399,34406870.7328074,10479.34,16.318534228867588,535.7872707265342
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Santo André\Lausanne\CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,Santo André,Lausanne,9217026.59386067,116264185.01572448,26070.9,7.927657681180226,353.536954760314
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\ALL\Acácias JK\17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,ALL,Acácias JK,728402.3679733151,7433075.110573249,1943.23,9.799475414114841,374.841047108842
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\AS Ramos\Paessaggio\CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,AS Ramos,Paessaggio,4316755.05,51217476.75,16348.1,8.428285272760924,264.05240058477744
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Brava Construtora\Mar a Vista\CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,Brava Construtora,Mar a Vista,1757024.42,10446494.54,3120.05,16.819272850546096,563.1398278873736
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Caledonia MOWE\Caledonia MOWE\CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,Caledonia MOWE,Caledonia MOWE,243899.4658271757,1603246.8259855874,329.57,15.21284569999007,740.0536026555078
