path,cliente,projeto,xlsx_name,abas_encontradas,aba_gerenciamento_usada,total_gerenciamento,grand_total,ac_m2,pct_gerenciamento,rsm2_gerenciamento,status,erro
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Kirchner\Kirchner\CTN-KIR-WVR - ORÇAMENTO EXECUTIVO_ R03.xlsx,Kirchner,Kirchner,CTN-KIR-WVR - ORÇAMENTO EXECUTIVO_ R03.xlsx,Resumo|CUSTOS DIRETOS|CUSTOS INDIRETOS|CUSTOS DISPONIBILIZADOS|ESCAVAÇÕES|ESTACAS|BALDRAMES|SUPRAESTRUTURA|ESCORAMENTO|ALVENARIA|Verga e contra|REVESTIMENTOS|ARGAMASSADO EM ESTRUTURA|CHURRASQUEIRA|IMPER|HIDRÁULICAS|ESGOTO E PLUVIAL|LOUÇAS E METAIS|ELÉTRICA|EXAUSTÃO,,,30193806.235026874,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Libra Concept\Libra Conecpt\CTN-LBR-CPT- Apresentação_Orçamento_R01.xlsx,Libra Concept,Libra Conecpt,CTN-LBR-CPT- Apresentação_Orçamento_R01.xlsx,Gerenciamento executivo |Executivo |Auxiliar,Gerenciamento executivo ,8743172.620000001,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Lotisa\Serenity\CTN-LOT_SER - Apresentação_Orçamento_Executivo_R05.xlsx,Lotisa,Serenity,CTN-LOT_SER - Apresentação_Orçamento_Executivo_R05.xlsx,Gerenciamento executivo |Executivo|ETAPAS,Gerenciamento executivo ,32021372.25,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Lumis\Live\CTN-LUM-LIVE- Apresentação Orçamento - R00.xlsx,Lumis,Live,CTN-LUM-LIVE- Apresentação Orçamento - R00.xlsx,Gerenciamento executivo |Gerenciamento_Exec|OBRAS SIMILARES,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mabrem\Gran Torino\CTN-MBM-GRT- Apresentação Orçamento - R00.xlsx,Mabrem,Gran Torino,CTN-MBM-GRT- Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|CONTRUTORA|CÁLCULO_MÉDIAS|AREAS_PRIVATIVAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mabrem\Gran Torino\CTN-MBM-GRT- Orçamento comentado-R00.xlsx,Mabrem,Gran Torino,CTN-MBM-GRT- Orçamento comentado-R00.xlsx,CAPA|OBRA|EPC's|CANTEIRO|ORÇAMENTO_EXECUTIVO|MOBILIÁRIO R00,CANTEIRO,39000.0,37237429.533854425,,0.0010473333011491337,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mabrem\San Marino\MTH_MAB-SAN_Orçamento completo 11.03.21.xlsx,Mabrem,San Marino,MTH_MAB-SAN_Orçamento completo 11.03.21.xlsx,Sheet1,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Macom\Adda\CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,Macom,Adda,CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,Relatório (2)|ORÇAMENTO_EXECUTIVO|ORÇAMENTO_PRIVATIVA|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Macom\Villa Lobos\CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,Macom,Villa Lobos,CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,ORÇAMENTO_EXECUTIVO|ORÇAMENTO_PRIVATIVA|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mendes Empreendimentos\Brava Mundo\CTN-MEN-BRA - Orçamento Executivo - R02.xlsx,Mendes Empreendimentos,Brava Mundo,CTN-MEN-BRA - Orçamento Executivo - R02.xlsx,Orçamento Resumo|Planilha1|Planilha2,,,20429157.700000003,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mendes Empreendimentos\Brava Mundo\CTN-MEN-BRA - Orçamento Analítico - R02.xlsx,Mendes Empreendimentos,Brava Mundo,CTN-MEN-BRA - Orçamento Analítico - R02.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mendes Empreendimentos\Brava Sixteen\CTN-MEN-BVS - Orçamento_Executivo_R01.xlsx,Mendes Empreendimentos,Brava Sixteen,CTN-MEN-BVS - Orçamento_Executivo_R01.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\MG3\La Vie\2023.07.17 - MG3_LVI_ARQ_PE_R08b.xlsx,MG3,La Vie,2023.07.17 - MG3_LVI_ARQ_PE_R08b.xlsx,B02. TABELA DE ALVENARIAS|B03. TABELA DE ALVENARIAS GERAL|B04. TABELA REVEST PAREDES|B05. TABELA REVEST FACHADAS|B06. TABELA REVEST PISO|B07. TABELA CONTRAPISOS|B08. TABELA DE TETOS|B09. TABELA DE PORTAS GERAL|B10. TABELA DE JANELAS GERAL|B11. TABELA DE BRISES|B12. TABELA DE PAINEL DE VIDRO|CTN_TABELA DE RODAPÉS|CTN_TABELA IMPERMEABILIZAÇÃO PA|CTN_TABELA IMPERMEABILIZAÇÃO PI,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\MTF\M Haus\CTN-MTF-MHS - Orçamento_Executivo_R04_0.xlsx,MTF,M Haus,CTN-MTF-MHS - Orçamento_Executivo_R04_0.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\MTF\M Village Jardim\CTN-MTF-MVL - Apresentação Orçamento - R00.xlsx,MTF,M Village Jardim,CTN-MTF-MVL - Apresentação Orçamento - R00.xlsx,Gerenciamento executivo |Gerenciamento_Exec|Planilha1|Executivo,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Muller Empreendimentos\Elleva\CTN_ANM-ELLEVA - Orçamento-R02.xlsx,Muller Empreendimentos,Elleva,CTN_ANM-ELLEVA - Orçamento-R02.xlsx,Resumo|Projeção torre|Escoramento - Manutenção|Custo MO Hidráulica|Estacas|Arm. Estacas|Blocos|Vigas Fundação|Tabela de Aço|Pilares de Arranque|Lajes Fundação|Arm. Fund. Dir|Supraestrutura|Armação Alvenaria Estr|QUANTITATIVO DE BLOCOS|Índice Alvenaria|Alvenaria ARQ|Diferença alvenarias|Mochetas|Peitoris,,,12939596.983865213,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Muller Empreendimentos\Guanabara\CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Muller Empreendimentos,Guanabara,CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Orçamento Resumo|Análise custos|Planilha1|Planilha2|Planilha2 (2),,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mussi Empreendimentos\Soho\MUS_SOH-Orçamento.xlsx,Mussi Empreendimentos,Soho,MUS_SOH-Orçamento.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mussi Empreendimentos\Velazquez\MUS_VEZ - Orçamento executivo.xlsx,Mussi Empreendimentos,Velazquez,MUS_VEZ - Orçamento executivo.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mussi Empreendimentos\Brookliin\CTN-MSS-BRK - Orçamento Executivo - R01.xlsx,Mussi Empreendimentos,Brookliin,CTN-MSS-BRK - Orçamento Executivo - R01.xlsx,Orçamento Resumo|Planilha1,,,32561809.21,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Mussi Empreendimentos\Chelsea\CTN_MSS_CLS - Orçamento R02.xlsx,Mussi Empreendimentos,Chelsea,CTN_MSS_CLS - Orçamento R02.xlsx,Obra|Controle Tecnologico|CANTEIRO|EPC's|Ger_Tec e Adm|Cotações|Ger_Executivo|INSTALAÇÕES REV|ARQUITETURA|Tijolos refratários|Louças e metais|HIDROSANITÁRIO|INTERFONIA|PORTÕES|PISCINAS|RESERVATÓRIO-CISTERNA|MOBILIARIO|Infraestrutura|Movimentação de terra|Estacas,CANTEIRO,38000.0,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\MZ\Central Park\CTN-CPK - Orçamento_Executivo - R01.xlsx,MZ,Central Park,CTN-CPK - Orçamento_Executivo - R01.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Neuhaus\Origem\CTN_NHS_ORG - Orçamento_R00.xlsx,Neuhaus,Origem,CTN_NHS_ORG - Orçamento_R00.xlsx,Apoio|CPU|Insumos|OBRA|Ger_Tec e Adm|Ger_Executivo|ARQUITETURA|FACHADA|IMPERMEABILIZAÇÃO|MOBILIÁRIO|LOUÇAS E METAIS|Piscina | Sauna | Hidro|Telefonico|Climatização Exaustão|PCI | GLP|Eletrico|Hidrossanitário|Supraestrutura|Escoramento|R$_Escoramento,PCI | GLP,737909.0872126786,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Neuhaus\Botanico\NHS-BTN-AFP - Orçamento_Preliminar - R00.xlsx,Neuhaus,Botanico,NHS-BTN-AFP - Orçamento_Preliminar - R00.xlsx,Orçamento Resumo|Orçamento_Paramétrico|Planilha1,,,36708742.69526291,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\NM Empreendimentos\CTN-NM-SÇH - Orçamento.R00.xlsx,NM Empreendimentos,CTN-NM-SÇH - Orçamento.R00.xlsx,CTN-NM-SÇH - Orçamento.R00.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\NM Empreendimentos\CTN_NME_SÇH_ Apresentação Orçamento.xlsx,NM Empreendimentos,CTN_NME_SÇH_ Apresentação Orçamento.xlsx,CTN_NME_SÇH_ Apresentação Orçamento.xlsx,Planilha1,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nobria\CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,Nobria,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nobria\CTN-NBR-MBC - Orçamento_Executivo_R00.xlsx,Nobria,CTN-NBR-MBC - Orçamento_Executivo_R00.xlsx,CTN-NBR-MBC - Orçamento_Executivo_R00.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nova Empreendimentos\Evora\CTN-NOV-EVR - Apresentação Orçamento - R01.xlsx,Nova Empreendimentos,Evora,CTN-NOV-EVR - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO|MÃO DE OBRA|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS|AREAS PRIVATIVAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nova Empreendimentos\Evora\CTN-NOV-EVR -Orçamento comentado-R04.xlsx,Nova Empreendimentos,Evora,CTN-NOV-EVR -Orçamento comentado-R04.xlsx,CAPA|OBRA|EPC's|ORÇAMENTO_EXECUTIVO_COMENTADO|ESCAVAÇÕES|INFRAESTRUTURA|ESTRUTURA|LAJE_TRELIÇADA|Refratários|IMPERMEABILIZAÇÃO,,,21291304.164644517,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nova Empreendimentos\Malaga\CTN-NOV-MLG - Apresentação Orçamento - R01.xlsx,Nova Empreendimentos,Malaga,CTN-NOV-MLG - Apresentação Orçamento - R01.xlsx,orçamento|ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS|AREAS PRIVATIVAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nova Empreendimentos\Malta\CTN_NOV_MTA - Orçamento R03.xlsx,Nova Empreendimentos,Malta,CTN_NOV_MTA - Orçamento R03.xlsx,Obra |EPCs|CANTEIRO|Ensaios |BASES|1 - ADM|2 - MAT|3 - MOE|MO|Imperm |Estacas|Contenções|Arm. Cortina|Fundação Rasa|Infraestrutura|Supraestrutura|QUANTITATIVO|LAJE_TRELIÇADA|Escoramento|Escadas,CANTEIRO,52000.0,,,,,ok,
