path,cliente,projeto,xlsx_name,aba_usada,linha_gerenciamento,linhas_macrogrupo,ac_m2,total_obra,total_gerenciamento,pct_gerenciamento,rsm2_gerenciamento,status,erro
AS Ramos\Paessaggio\CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,AS Ramos,Paessaggio,CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,19,16348.1,51217476.75,4316755.05,0.08428285272760923,264.05240058477744,ok,
Blue Heaven\Monolyt\CTN_BHE-MON - Apresentação.xlsx,Blue Heaven,Monolyt,CTN_BHE-MON - Apresentação.xlsx,ORÇAMENTO_PRELIMINAR,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,14693.42,86996004.79662345,14452093.746629817,0.1661236487861192,983.5758963284121,ok,
Brasin\Mario Lago\CTN-BRS-RML-Apresentação Orçamento - R01.xlsx,Brasin,Mario Lago,CTN-BRS-RML-Apresentação Orçamento - R01.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,23491181.900000002,2283132.61,0.0971910489527136,,ok,
Brava Construtora\Mar a Vista\CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,Brava Construtora,Mar a Vista,CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,3120.05,10446494.539999997,1757024.42,0.16819272850546096,563.1398278873736,ok,
Caledonia MOWE\Caledonia MOWE\CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,Caledonia MOWE,Caledonia MOWE,CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,22,329.57,1603246.8259855874,243899.46582717574,0.1521284569999007,740.0536026555079,ok,
Carraro\Vertice\CTN-CRR-VRT - Apresentação Orçamento - R00.xlsx,Carraro,Vertice,CTN-CRR-VRT - Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Gerenciamento_Exec|Executivo
CGL\Arbol 646\CTN_CGL-ARB - Apresentação Orçamento - R00.xlsx,CGL,Arbol 646,CTN_CGL-ARB - Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo - CASAS|CASA 01|CASA 02|CASA 03|CASA 04|COMPARATIVO
Chiquetti e Dalvesco\Esmeralda\CTN-CDV-ESM - Apresentação Orçamento_R00.xlsx,Chiquetti e Dalvesco,Esmeralda,CTN-CDV-ESM - Apresentação Orçamento_R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,5579.63,28868787.310794167,6475245.949322426,0.2242992017507193,1160.5152939034356,ok,
Chiquetti e Dalvesco\Bela Vida\CTN-CDV-BVD - Apresentação Orçamento_R01.xlsx,Chiquetti e Dalvesco,Bela Vida,CTN-CDV-BVD - Apresentação Orçamento_R01.xlsx,ORÇAMENTO_PRELIMINAR,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,5006.35,26220021.09801211,3595068.6007398292,0.13711158306475932,718.1017309496598,ok,
CK\Artefacto\CTN-CK _ART- Orçamento apresentação - R00.xlsx,CK,Artefacto,CTN-CK _ART- Orçamento apresentação - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo_01
CK\Habitah\CTN-CK _HBT- Orçamento apresentação - R01.xlsx,CK,Habitah,CTN-CK _HBT- Orçamento apresentação - R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo_01|Gerenciamento executivo  (2)
CK\Urbe\CTN-CK-URB- Apresentação Orçamento - R02.xlsx,CK,Urbe,CTN-CK-URB- Apresentação Orçamento - R02.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,13265824.464238951,1833814.4,0.13823599165988243,,ok,
CLN\Porto Ruby\CTN_CLN_PBY - Apresentação Orçamento.xlsx,CLN,Porto Ruby,CTN_CLN_PBY - Apresentação Orçamento.xlsx,GER_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,12972.67,42531564.12496035,4776159.3952975795,0.1122968198692371,368.17088504506626,ok,
CN\Brava Valley\CTN-CN-BBV- Apresentação_Orçamento - R00.xlsx,CN,Brava Valley,CTN-CN-BBV- Apresentação_Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Planilha1
CN\Brava Ocean\CTN-CN-BVO- Apresentação_Orçamento - R00A.xlsx,CN,Brava Ocean,CTN-CN-BVO- Apresentação_Orçamento - R00A.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,61763.96,210117050.09492162,31212607.6369,0.14854866667316868,505.35308352799916,ok,
CN\Brava Garden\CTN-CN-BGR- Apresentação_Orçamento - R00.xlsx,CN,Brava Garden,CTN-CN-BGR- Apresentação_Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Planilha1
Colline de France\Colline de France\CTN-COLLINE - Apresentação Orçamento - R00.xlsx,Colline de France,Colline de France,CTN-COLLINE - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,4,6049.169999999999,9599494.628444886,2492151.601474115,0.25961279191609304,411.98240444128953,ok,
Cota\365\CTN-COT-365- Apresentação Orçamento.xlsx,Cota,365,CTN-COT-365- Apresentação Orçamento.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,17505.56,60989058.05866331,3894011.7347123325,0.06384771069864392,222.44428254293678,ok,
Estilo Condomínios\Estilo condomínios\CTN-EST - VIS- Apresentação Orçamento - R00.xlsx,Estilo Condomínios,Estilo condomínios,CTN-EST - VIS- Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO_EDIFICAÇÕES,,0,,,,,,ok,
EZE\Bella Vivie\CTN_EZE_BLV_ Apresentação Orçamento.xlsx,EZE,Bella Vivie,CTN_EZE_BLV_ Apresentação Orçamento.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,15,4868.43,15568937.789999997,1517952.9,0.09749880951897619,311.79515778187215,ok,
F Nogueira\WPR\CTN - FNG_WPR - Apresentação_Orçamento_R01.xlsx,F Nogueira,WPR,CTN - FNG_WPR - Apresentação_Orçamento_R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|Planilha3
F Nogueira\Soberano\CTN - FNG_SOB - Apresentação_Orçamento_R01.xlsx,F Nogueira,Soberano,CTN - FNG_SOB - Apresentação_Orçamento_R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|Planilha3
FG\Blue Coast\CTN-FGE-BCO - Apresentação Orçamento - R00.xlsx,FG,Blue Coast,CTN-FGE-BCO - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,15,13131.849999999999,79861234.35933675,10189225.534325795,0.12758662717983085,775.9169907001524,ok,
FG\Scenarium\CTN-FGE-SCN - Apresentação Orçamento - R00.xlsx,FG,Scenarium,CTN-FGE-SCN - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,42277.77,206674002.44260004,22842123.31,0.11052248004121362,540.2868531145327,ok,
GMF\Moradas do Atalaia\CTN-GMF- ATA - Apresentação Orçamento - R00ok.xlsx,GMF,Moradas do Atalaia,CTN-GMF- ATA - Apresentação Orçamento - R00ok.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,7374.18,23887574.139955323,2289625.9,0.0958500803214789,310.4922716830888,ok,
Grandezza\Gran Royal\CTN-GDZ_GRL- Apresentação Orçamento - R00.xlsx,Grandezza,Gran Royal,CTN-GDZ_GRL- Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,5,5225.33,10020041.553764638,3441809.4857795984,0.34349253616482994,658.6779180988757,ok,
Grandezza\Gran Tower\CTN-GRANDEZZA- Apresentação Orçamento - R01.xlsx,Grandezza,Gran Tower,CTN-GRANDEZZA- Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,6245.48,21230822.540000003,2384931.88,0.11233346590819367,381.86526576019776,ok,
Homeset\Homeset\CTN-HMS-HMG - Apresentação Orçamento - R01.xlsx,Homeset,Homeset,CTN-HMS-HMG - Apresentação Orçamento - R01.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,,21873345.729972,3275186.6,0.14973413946052927,,ok,
Inbrasul\Aguas de Março\CTN-INB-AGM-Apresentação Orçamento - R03.xlsx,Inbrasul,Aguas de Março,CTN-INB-AGM-Apresentação Orçamento - R03.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,,24341958.32,7834510.59,0.3218521076655923,,ok,
Inbrasul\Opus\CTN-INB-OPS-Apresentação Orçamento - R05.xlsx,Inbrasul,Opus,CTN-INB-OPS-Apresentação Orçamento - R05.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,,16756730.409999996,5396049.23,0.32202279907658915,,ok,
Indepy\Stella Marina\CTN-IND-STL-Apresentação Orçamento - R01.xlsx,Indepy,Stella Marina,CTN-IND-STL-Apresentação Orçamento - R01.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,17285611.089999996,3402094.38,0.19681655235018947,,ok,
Libra Concept\Libra Conecpt\CTN-LBR-CPT- Apresentação_Orçamento_R01.xlsx,Libra Concept,Libra Conecpt,CTN-LBR-CPT- Apresentação_Orçamento_R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Auxiliar
Lotisa\Serenity\CTN-LOT_SER - Apresentação_Orçamento_Executivo_R05.xlsx,Lotisa,Serenity,CTN-LOT_SER - Apresentação_Orçamento_Executivo_R05.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|ETAPAS
Lumis\Live\CTN-LUM-LIVE- Apresentação Orçamento - R00.xlsx,Lumis,Live,CTN-LUM-LIVE- Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Gerenciamento_Exec|OBRAS SIMILARES
Mabrem\Gran Torino\CTN-MBM-GRT- Apresentação Orçamento - R00.xlsx,Mabrem,Gran Torino,CTN-MBM-GRT- Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,,1,12518.96,,,,,ok,
Macom\Adda\CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,Macom,Adda,CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,4358.27,13434812.160000002,1447037.29,0.10770804033333056,332.02102898627203,ok,
Macom\Villa Lobos\CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,Macom,Villa Lobos,CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,6001.7,17850373.278950002,1932826.48,0.1082793311823501,322.0465001582885,ok,
MTF\M Village Jardim\CTN-MTF-MVL - Apresentação Orçamento - R00.xlsx,MTF,M Village Jardim,CTN-MTF-MVL - Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Gerenciamento_Exec|Planilha1|Executivo
Muller Empreendimentos\Guanabara\CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Muller Empreendimentos,Guanabara,CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,,14337198.41,1356858.91,0.09463905507882274,,ok,
NM Empreendimentos\CTN_NME_SÇH_ Apresentação Orçamento.xlsx,NM Empreendimentos,CTN_NME_SÇH_ Apresentação Orçamento.xlsx,CTN_NME_SÇH_ Apresentação Orçamento.xlsx,,,0,,,,,,sem_aba_resumo,Planilha1
Nobria\CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,Nobria,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,12879.93,42384127.48,5635455.61,0.13296146328974756,437.5377513697668,ok,
